task_id			actions			time
01abae9608f2d8752a83e08f136f720c			92			15m 12s
0b838cd54f826c59c71f600c56b89a11			59			8m 42s
1223b07536a87e0170ff87cbbebd1d3c			179			20m 10s
2218042362d8fae73756eb309848c2b2			49			8m 6s
2d5a7f95f951a26838289dfd629ae850_110325			33			5m 54s
330cd04c773ac498f51afa4665461ec8			13			2m 1s
367d843c640637745e8fafa741cca13b			76			20m 40s
4091bdd3fa64a5b0d912bc08eaf9c824			6			1m 4s
4e0f5561a76478da87995dee00b09572			7			2m 11s
547f5729c59d5d12a457a3ebb74c31c6			23			4m 58s
64b76158720a69e4a5c31a55d54928bf			23			4m 11s
7072d09436972a5d5fe7476e3e9f1559			19			3m 43s
7562d9b4e4829a44245aafce2e1f62db			50			9m 43s
79f0bd7df6e685f30f20025cc6755c0a_110325			76			12m 51s
828c2d98616a9478d5864d847d5a1b28			9			1m 55s
864244b6969e0f8733b0eb1ca06cd51f			13			3m 18s
905cb53061c33aa2d77e485fe1fca516			19			2m 57s
949dc965a6c23a95663b3bc2ca2c3a8a			31			5m 26s
aa4b5cb7114fcc138ade82b4b9716d24			63			20m 38s
ba2a469af584f16da93ce6a7430cf7e5			16			3m 1s
bbbc243b4f18a7a897f0bc84e11d293f			16			3m 9s
bfa2de159be6978acf2702be31a2eeeb			47			7m 24s
c521933dad9c0ef9f1dfa2f38b8e4405			8			2m 5s
c7c07ec10c668625a21ba64165d719bb			26			5m 59s
c94551d2b18f9ad0ab31b0bd98ca42e3			99			20m 24s
cad62d2be0c53f08a416457486b3db23			8			1m 14s
ce616721ce9aeda69890fbccb29677a6			8			1m 13s
db1ffb5e60578597d1c3aa3c389ac7b1			66			12m 46s
e7f6cca9a8875f98fee3b711ead3a444_110325			20			2m 40s
fb7b4f784cfde003e2548fdf4e8d6b4f			12			2m 13s
