task_id			actions			time
01abae9608f2d8752a83e08f136f720c			14			2m 31s
0b838cd54f826c59c71f600c56b89a11			101			20m 13s
1223b07536a87e0170ff87cbbebd1d3c			147			20m 12s
2218042362d8fae73756eb309848c2b2			77			11m 18s
2d5a7f95f951a26838289dfd629ae850_110325			30			5m 52s
330cd04c773ac498f51afa4665461ec8			10			1m 41s
367d843c640637745e8fafa741cca13b			76			20m 17s
4091bdd3fa64a5b0d912bc08eaf9c824			6			1m 1s
4e0f5561a76478da87995dee00b09572			7			2m 7s
547f5729c59d5d12a457a3ebb74c31c6			40			9m 29s
64b76158720a69e4a5c31a55d54928bf			24			5m 26s
7072d09436972a5d5fe7476e3e9f1559			17			3m 4s
7562d9b4e4829a44245aafce2e1f62db			41			7m 16s
79f0bd7df6e685f30f20025cc6755c0a_110325			20			4m 23s
828c2d98616a9478d5864d847d5a1b28			9			1m 51s
864244b6969e0f8733b0eb1ca06cd51f			17			2m 31s
905cb53061c33aa2d77e485fe1fca516			19			2m 54s
949dc965a6c23a95663b3bc2ca2c3a8a			25			5m 41s
aa4b5cb7114fcc138ade82b4b9716d24			26			8m 37s
ba2a469af584f16da93ce6a7430cf7e5			27			4m 31s
bbbc243b4f18a7a897f0bc84e11d293f			18			2m 57s
bfa2de159be6978acf2702be31a2eeeb			8			1m 38s
c521933dad9c0ef9f1dfa2f38b8e4405			8			2m 10s
c7c07ec10c668625a21ba64165d719bb			22			4m 54s
c94551d2b18f9ad0ab31b0bd98ca42e3			111			20m 18s
cad62d2be0c53f08a416457486b3db23			8			1m 18s
ce616721ce9aeda69890fbccb29677a6			8			1m 8s
db1ffb5e60578597d1c3aa3c389ac7b1			5			0m 44s
e7f6cca9a8875f98fee3b711ead3a444_110325			19			3m 1s
fb7b4f784cfde003e2548fdf4e8d6b4f			14			2m 18s
